HV1,IC1,IC5,CARDPROM,NUMPRM12,NGIFTALL,TIMELAG,year,GENDER,HOMEOWNR,DOMAIN_letters,RFA_frequency,RFA_monetary,AVGGIFT
604,245,12536,8,15,3,3.0,37.5707995,F,other,T,3,G,15.0
800,378,16743,12,11,4,15.0,37.5707995,other,other,S,2,F,8.25
1395,283,11965,6,8,1,8.117885715,37.5707995,other,other,S,1,F,20.0
846,440,14630,6,11,1,8.117885715,59.0,F,H,T,1,F,23.0
1394,302,8510,18,14,7,7.0,45.0,F,H,U,3,G,16.71428571
346,224,9601,28,12,28,8.0,26.0,F,U,R,4,D,4.446428571
384,230,10938,33,12,42,4.0,50.0,F,H,R,4,E,9.166666667000001
1335,668,26743,9,16,3,4.0,43.0,M,U,T,3,F,13.66666667
2158,411,33235,22,18,12,10.0,14.0,F,U,C,3,E,10.75
1005,251,17065,24,13,14,3.0,44.0,M,U,U,3,E,9.214285713999999
367,179,9389,6,12,1,8.117885715,43.0,F,other,R,1,F,20.0
2800,257,16654,6,12,1,8.117885715,64.0,F,U,U,1,G,25.0
568,231,11860,9,10,2,15.0,37.5707995,F,H,T,1,F,12.5
2111,508,15961,22,13,18,2.0,37.5707995,M,U,S,1,E,5.166666667
3922,1468,77736,28,8,20,12.0,43.0,M,H,U,3,F,10.65
448,225,9157,21,8,11,3.0,67.0,M,H,R,2,E,8.727272727
473,211,10428,26,13,8,6.0,32.0,M,H,R,1,G,18.75
2505,371,11714,5,8,1,8.117885715,37.5707995,M,other,U,1,F,20.0
872,418,15287,28,13,8,4.0,38.0,F,H,T,2,F,12.75
0,125,7345,28,13,9,4.0,37.5707995,other,other,U,2,G,16.0
1162,502,14859,29,11,11,5.0,46.0,M,H,T,1,F,12.18181818
1101,515,19857,13,12,3,12.0,49.0,F,H,T,2,F,20.0
1056,335,15330,13,12,5,2.0,63.0,M,H,T,3,E,9.6
626,207,11709,8,15,3,2.0,37.5707995,M,U,C,3,E,6.333333333
237,220,9102,5,8,1,8.117885715,20.0,M,H,R,1,F,15.0
342,174,8356,24,10,17,5.0,10.0,F,U,R,1,E,6.4117647060000005
399,183,8324,18,9,5,9.0,37.5707995,F,U,T,1,F,11.0
485,297,10854,24,11,11,12.0,38.0,M,H,T,1,G,13.18181818
400,237,9655,25,26,28,6.0,17.0,F,U,U,3,D,5.571428571
707,313,11715,9,11,2,7.0,50.0,F,H,S,2,F,12.5
422,269,10950,10,13,4,4.0,54.0,M,other,T,3,F,8.25
359,267,8052,17,12,10,7.0,44.0,F,H,S,4,D,6.5
983,415,18263,25,13,10,6.0,15.0,M,U,T,1,F,12.1
3520,537,17974,33,15,30,12.0,14.0,F,H,T,3,F,10.46666667
3726,684,22803,7,11,1,8.117885715,46.0,M,H,S,1,G,25.0
1587,213,8938,20,13,13,3.0,72.0,M,U,U,3,E,4.769230769
409,263,10273,22,13,6,15.0,46.0,F,U,U,1,G,25.16666667
296,255,10525,32,13,15,6.0,37.5707995,F,other,R,3,F,10.73333333
550,140,13574,22,26,11,8.0,37.5707995,F,U,U,1,F,12.90909091
590,283,12504,19,24,10,2.0,15.0,M,H,S,4,D,6.8
969,193,13291,19,8,15,4.0,55.0,M,H,T,2,F,10.66666667
2695,601,24634,16,13,4,10.0,37.5707995,F,other,S,2,G,18.75
342,114,9080,22,14,11,19.0,31.0,F,H,C,2,F,17.27272727
600,321,15098,13,13,7,12.0,41.0,F,H,S,4,D,5.571428571
970,532,18485,11,14,3,4.0,37.5707995,F,H,S,2,F,11.66666667
570,273,15035,10,14,6,1.0,37.0,F,H,C,4,D,5.666666667
351,185,11769,20,13,11,9.0,52.0,F,U,R,3,E,6.818181817999999
917,466,15327,13,13,9,1.0,22.0,F,U,T,4,D,6.8888888889999995
564,311,12326,21,7,23,0.0,14.0,F,other,C,3,E,8.086956522000001
765,167,11529,44,24,40,9.0,17.0,other,U,U,3,F,10.2
1160,553,19079,29,13,8,14.0,21.0,F,H,S,2,F,10.75
495,181,8920,14,9,4,14.0,29.0,M,H,U,1,F,10.5
564,194,9814,18,13,5,7.0,42.0,M,H,T,1,G,11.6
155,157,7353,20,12,9,15.0,20.0,M,H,U,4,D,3.4444444439999997
1023,242,14964,24,13,9,7.0,54.0,M,U,S,2,F,13.22222222
838,431,15998,25,14,14,3.0,37.5707995,M,other,S,2,F,9.571428571
868,234,14095,31,12,17,5.0,23.0,F,H,S,3,E,10.05882353
483,202,10431,12,26,5,11.0,16.0,M,H,T,3,E,12.6
3801,759,28586,11,13,4,3.0,37.0,M,H,S,3,F,10.75
1063,202,14489,21,12,8,2.0,16.0,M,U,C,1,F,14.5
165,215,8701,17,10,5,9.0,34.0,F,U,R,1,F,13.0
607,366,13931,22,13,14,2.0,50.0,F,H,R,2,E,6.928571429
1041,234,15966,10,13,2,8.0,37.5707995,F,other,S,2,F,12.5
1754,403,23180,11,12,2,7.0,40.0,M,H,U,1,G,22.5
1009,368,19056,14,13,5,5.0,36.0,F,H,S,3,F,12.4
373,200,7745,13,6,6,1.0,66.0,F,H,R,2,F,10.33333333
905,290,12724,20,12,8,3.0,45.0,F,other,T,1,F,8.875
789,200,9717,35,20,16,6.0,37.5707995,M,H,R,1,F,11.9375
1275,453,19135,17,12,7,15.0,59.0,F,H,S,3,E,8.0
